"","TF","top_3_cell_types"
"161","PITX1","Salivary.duct.cells, Mucus.glandular.cells, Oocytes"
"162","PITX2","Gastric.mucus.secreting.cells, Salivary.duct.cells, Mucus.glandular.cells"
"163","PITX3","Salivary.duct.cells, Oligodendrocyte.precursor.cells, Collecting.duct.cells"
"164","POU2AF1","Squamous.epithelial.cells, Proximal.tubular.cells, Lymphatic.endothelial.cells"
"165","POU5F1","Exocrine.glandular.cells, Breast.myoepithelial.cells, Inhibitory.neurons"
"166","POU5F2","Oocytes, Enteroendocrine.cells, Serous.glandular.cells"
"167","PPARA","Adipocytes, Breast.myoepithelial.cells, Pancreatic.endocrine.cells"
"168","PPARG","dendritic.cells, Lymphatic.endothelial.cells, Basal.keratinocytes"
"169","PRDM1","Lymphatic.endothelial.cells, Late.spermatids, Syncytiotrophoblasts"
"170","PRDM14","Oligodendrocyte.precursor.cells, Syncytiotrophoblasts, Pancreatic.endocrine.cells"
"171","RARB","Breast.myoepithelial.cells, Oligodendrocyte.precursor.cells, Serous.glandular.cells"
"172","RBAK","B.cells, Oligodendrocyte.precursor.cells, Cholangiocytes"
"173","REL","dendritic.cells, Intestinal.goblet.cells, Breast.myoepithelial.cells"
"174","RFX3","Salivary.duct.cells, Prostatic.glandular.cells, Oligodendrocyte.precursor.cells"
"175","RFX6","Salivary.duct.cells, Microglial.cells, Oligodendrocyte.precursor.cells"
"176","RHOXF2","NK.cells, Horizontal.cells, Salivary.duct.cells"
"177","RORB","Prostatic.glandular.cells, Serous.glandular.cells, Collecting.duct.cells"
"178","RUNX3","Oligodendrocyte.precursor.cells, Salivary.duct.cells, Pancreatic.endocrine.cells"
"179","RXRG","Pancreatic.endocrine.cells, Intestinal.goblet.cells, Late.spermatids"
"180","SALL4","Enteroendocrine.cells, Peritubular.cells, Syncytiotrophoblasts"
"181","SHOX2","Basal.keratinocytes, Lymphatic.endothelial.cells, Club.cells"
"182","SIM2","Breast.myoepithelial.cells, dendritic.cells, Ovarian.stromal.cells"
"183","SIX2","Syncytiotrophoblasts, Cholangiocytes, Basal.respiratory.cells"
"184","SMAD1","Basal.prostatic.cells, Endothelial.cells, Macrophages"
"185","SMAD7","dendritic.cells, Breast.myoepithelial.cells, Salivary.duct.cells"
"186","SNAI1","Skeletal.myocytes, Breast.myoepithelial.cells, Sertoli.cells"
"187","SNAI2","Breast.myoepithelial.cells, Oligodendrocyte.precursor.cells, Prostatic.glandular.cells"
"188","SOHLH1","Lymphatic.endothelial.cells, Breast.myoepithelial.cells, Peritubular.cells"
"189","SOX10","Secretory.cells, Schwann.cells, Distal.enterocytes"
"190","SOX14","Breast.myoepithelial.cells, Serous.glandular.cells, Distal.tubular.cells"
"191","SOX2","Salivary.duct.cells, Pancreatic.endocrine.cells, Lymphatic.endothelial.cells"
"192","SOX5","Adipocytes, Lymphatic.endothelial.cells, Peritubular.cells"
"193","SOX9","Serous.glandular.cells, Gastric.mucus.secreting.cells, Early.spermatids"
"194","SP6","Intestinal.goblet.cells, Kupffer.cells, Oligodendrocytes"
"195","SPDEF","Basal.prostatic.cells, Cardiomyocytes, Pancreatic.endocrine.cells"
"196","SPI1","Erythroid.cells, Squamous.epithelial.cells, Microglial.cells"
"197","SPIB","B.cells, Salivary.duct.cells, Pancreatic.endocrine.cells"
"198","SPIC","Breast.myoepithelial.cells, Langerhans.cells, Excitatory.neurons"
"199","STAT4","Breast.myoepithelial.cells, Schwann.cells, Oligodendrocyte.precursor.cells"
"200","TAL1","Melanocytes, Breast.myoepithelial.cells, NK.cells"
"201","TAL2","Oligodendrocyte.precursor.cells, Rod.photoreceptor.cells, Horizontal.cells"
"202","TBR1","Erythroid.cells, Oligodendrocyte.precursor.cells, Pancreatic.endocrine.cells"
"203","TBX18","Pancreatic.endocrine.cells, Intestinal.goblet.cells, Salivary.duct.cells"
"204","TBX20","Schwann.cells, dendritic.cells, Lymphatic.endothelial.cells"
"205","TBX22","Pancreatic.endocrine.cells, Oligodendrocyte.precursor.cells, Glandular.and.luminal.cells"
"206","TCF12","Serous.glandular.cells, Schwann.cells, Cardiomyocytes"
"207","TCF7L1","Breast.myoepithelial.cells, Lymphatic.endothelial.cells, Endothelial.cells"
"208","TEF","Breast.myoepithelial.cells, Salivary.duct.cells, Prostatic.glandular.cells"
"209","TFAP2A","Breast.myoepithelial.cells, Peritubular.cells, Pancreatic.endocrine.cells"
"210","TFAP2B","Breast.myoepithelial.cells, Basal.keratinocytes, Oligodendrocyte.precursor.cells"
"211","TFAP2C","Oocytes, Basal.keratinocytes, Breast.myoepithelial.cells"
"212","THAP2","Salivary.duct.cells, Lymphatic.endothelial.cells, Breast.myoepithelial.cells"
"213","THAP6","Basal.keratinocytes, Proximal.enterocytes, Syncytiotrophoblasts"
"214","THRB","granulocytes, Cholangiocytes, Squamous.epithelial.cells"
"215","TP63","Breast.myoepithelial.cells, Alveolar.cells.type.2, Intestinal.goblet.cells"
"216","USF1","Oligodendrocyte.precursor.cells, Distal.tubular.cells, Breast.myoepithelial.cells"
"217","UTF1","dendritic.cells, Oligodendrocyte.precursor.cells, Breast.myoepithelial.cells"
"218","VENTX","Lymphatic.endothelial.cells, Oligodendrocyte.precursor.cells, NK.cells"
"219","VSX1","NK.cells, Breast.myoepithelial.cells, Rod.photoreceptor.cells"
"220","VSX2","Breast.myoepithelial.cells, dendritic.cells, Salivary.duct.cells"
"221","WT1","Oligodendrocyte.precursor.cells, Salivary.duct.cells, Exocrine.glandular.cells"
"222","ZBTB32","Lymphatic.endothelial.cells, Breast.myoepithelial.cells, Sertoli.cells"
"223","ZBTB6","Salivary.duct.cells, Alveolar.cells.type.2, dendritic.cells"
"224","ZIC3","Salivary.duct.cells, Mucus.glandular.cells, NK.cells"
"225","ZIM2","Breast.myoepithelial.cells, Salivary.duct.cells, Enteroendocrine.cells"
"226","ZNF155","Ciliated.cells, Breast.myoepithelial.cells, Salivary.duct.cells"
"227","ZNF181","Cardiomyocytes, Oligodendrocyte.precursor.cells, Basal.keratinocytes"
"228","ZNF211","Gastric.mucus.secreting.cells, Enteroendocrine.cells, B.cells"
"229","ZNF225","Lymphatic.endothelial.cells, Intestinal.goblet.cells, Squamous.epithelial.cells"
"230","ZNF227","Salivary.duct.cells, Breast.myoepithelial.cells, Enteroendocrine.cells"
"231","ZNF280A","Basal.keratinocytes, Squamous.epithelial.cells, Sertoli.cells"
"232","ZNF317","Breast.myoepithelial.cells, Gastric.mucus.secreting.cells, Cholangiocytes"
"233","ZNF322","Rod.photoreceptor.cells, Kupffer.cells, NK.cells"
"234","ZNF410","Basal.keratinocytes, Smooth.muscle.cells, Sertoli.cells"
"235","ZNF423","Salivary.duct.cells, Intestinal.goblet.cells, Breast.myoepithelial.cells"
"236","ZNF461","Basal.prostatic.cells, Basal.squamous.epithelial.cells, B.cells"
"237","ZNF483","Granulosa.cells, Ionocytes, Basal.keratinocytes"
"238","ZNF501","Syncytiotrophoblasts, Basal.keratinocytes, Gastric.mucus.secreting.cells"
"239","ZNF554","Basal.respiratory.cells, Mucus.glandular.cells, monocytes"
"240","ZNF556","Enteroendocrine.cells, Squamous.epithelial.cells, Erythroid.cells"
"241","ZNF582","Serous.glandular.cells, Sertoli.cells, Mesothelial.cells"
"242","ZNF615","Oligodendrocyte.precursor.cells, dendritic.cells, Cholangiocytes"
"243","ZNF705D","monocytes, Basal.respiratory.cells, Basal.keratinocytes"
"244","ZNF77","Mesothelial.cells, Sertoli.cells, Breast.myoepithelial.cells"
"245","ZNF79","Hepatocytes, Exocrine.glandular.cells, Erythroid.cells"
"246","ZSCAN10","Oligodendrocyte.precursor.cells, Breast.myoepithelial.cells, dendritic.cells"
"247","ZSCAN12","Secretory.cells, Endometrial.stromal.cells, Leydig.cells"
"248","ZSCAN5A","Lymphatic.endothelial.cells, Inhibitory.neurons, Club.cells"
